orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Znojmo,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2006,0.02179345110053669,0.41774675972083747,2022-04-24,23
Židlochovice,střední,velmi nízké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,578,0.01704863876353125,0.3788927335640138,2022-04-24,23
Hranice,střední,střední,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,799,0.02346204668917927,0.32290362953692114,2022-04-24,23
Jeseník,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",623,0.016521254872842027,0.41091492776886035,2022-04-24,23
Konice,nízké,velmi nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,144,0.013526207026113094,0.4444444444444444,2022-04-24,23
Lipník nad Bečvou,nízké,střední,vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",179,0.011855089741042452,0.39106145251396646,2022-04-24,23
Litovel,střední,nízké,střední,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",435,0.01843689073493261,0.37701149425287356,2022-04-24,23
Mohelnice,velmi nízké,nízké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",371,0.020159756561430202,0.41778975741239893,2022-04-24,23
Olomouc,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,2889,0.0174663248772702,0.3907926618206992,2022-04-24,23
Prostějov,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1233,0.012599889636003189,0.4006488240064882,2022-04-24,23
Přerov,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,962,0.012063149710960914,0.36382536382536385,2022-04-24,23
Šternberk,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,201,0.008344750280234152,0.4626865671641791,2022-04-24,23
Šumperk,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1117,0.016303475252871718,0.41450313339301703,2022-04-24,23
Uničov,nízké,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,270,0.012077294685990338,0.4185185185185185,2022-04-24,23
Zábřeh,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,314,0.009500468972194488,0.37898089171974525,2022-04-24,23
Bystřice pod Hostýnem,vysoké,nízké,velmi vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,267,0.017536945812807882,0.5093632958801498,2022-04-24,23
Holešov,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,175,0.00813234815744226,0.38857142857142857,2022-04-24,23
Kroměříž,nízké,střední,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,926,0.01360124555682853,0.3941684665226782,2022-04-24,23
Luhačovice,velmi nízké,velmi nízké,nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,468,0.025206010664081433,0.3696581196581197,2022-04-24,23
Otrokovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,712,0.02095843635935476,0.3904494382022472,2022-04-24,23
Rožnov pod Radhoštěm,velmi nízké,velmi nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,636,0.018149131067545586,0.4261006289308176,2022-04-24,23
Uherské Hradiště,velmi nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1388,0.015478978476636556,0.38256484149855907,2022-04-24,23
Uherský Brod,velmi nízké,velmi nízké,střední,Výrazně méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,706,0.013587374903772133,0.3413597733711048,2022-04-24,23
Valašské Klobouky,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,281,0.012189302910684076,0.4128113879003559,2022-04-24,23
Valašské Meziříčí,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,993,0.02379754116039974,0.36153071500503525,2022-04-24,23
Vizovice,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,268,0.015570532186846387,0.3246268656716418,2022-04-24,23
Vsetín,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,790,0.012130331971869914,0.41645569620253164,2022-04-24,23
Zlín,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1606,0.01622828733971282,0.38293897882938976,2022-04-24,23
Bílovec,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,355,0.013840155945419104,0.36056338028169016,2022-04-24,23
Bohumín,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,476,0.014346856350593767,0.3088235294117647,2022-04-24,23
Bruntál,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",383,0.010615887798658461,0.402088772845953,2022-04-24,23
Český Těšín,nízké,vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,233,0.009145144830834446,0.44635193133047213,2022-04-24,23
Frenštát pod Radhoštěm,střední,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,249,0.012765302983697324,0.4939759036144578,2022-04-24,23
Frýdek-Místek,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,3162,0.028159481338332338,0.5151802656546489,2022-04-24,23
Frýdlant nad Ostravicí,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,594,0.02363238512035011,0.4444444444444444,2022-04-24,23
Havířov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1155,0.013496459370398934,0.45714285714285713,2022-04-24,23
Hlučín,velmi nízké,střední,nízké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,288,0.0070838252656434475,0.4236111111111111,2022-04-24,23
Jablunkov,velmi nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,222,0.009790086434997354,0.45495495495495497,2022-04-24,23
Karviná,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",397,0.006432483230175962,0.38287153652392947,2022-04-24,23
Kopřivnice,velmi nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,602,0.014840013804664005,0.3488372093023256,2022-04-24,23
Kravaře,velmi nízké,střední,vysoké,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,84,0.00394329170969862,0.30952380952380953,2022-04-24,23
Krnov,střední,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,383,0.009625050261359068,0.4281984334203655,2022-04-24,23
Nový Jičín,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,736,0.015099604045709128,0.36684782608695654,2022-04-24,23
Odry,vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,330,0.019488572609697042,0.4212121212121212,2022-04-24,23
Opava,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,1394,0.013859338649062457,0.36083213773314204,2022-04-24,23
Orlová,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,185,0.005023488201591224,0.34054054054054056,2022-04-24,23
Ostrava,velmi vysoké,velmi vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,4546,0.014326141900025841,0.3574571051473823,2022-04-24,23
Rýmařov,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,302,0.019998675584398384,0.3576158940397351,2022-04-24,23
Třinec,velmi nízké,velmi nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,663,0.012168040082955568,0.40120663650075417,2022-04-24,23
Vítkov,velmi vysoké,velmi vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,231,0.017451084082496033,0.38961038961038963,2022-04-24,23
Praha,nízké,střední,velmi nízké,Vzdělávací problémy na míře očekávání,NA,71978,0.053912712608345244,0.3751007252215955,2022-04-25,24
Benešov,velmi nízké,nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1936,0.03156435966413956,0.4230371900826446,2022-04-25,24
Beroun,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1673,0.025315114924266496,0.4028690974297669,2022-04-25,24
Brandýs nad Labem-Stará Boleslav,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4386,0.03798915585427963,0.3853169174646603,2022-04-25,24
Čáslav,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,744,0.02876807671487124,0.3521505376344086,2022-04-25,24
Černošice,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,5296,0.034776898578323535,0.4205060422960725,2022-04-25,24
Český Brod,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,503,0.02301848801025078,0.44532803180914515,2022-04-25,24
Dobříš,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,523,0.022482053045608907,0.40344168260038243,2022-04-25,24
Hořovice,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1101,0.03631745612877688,0.38056312443233425,2022-04-25,24
Kladno,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2897,0.022980208622535993,0.40144977562996204,2022-04-25,24
Kolín,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2576,0.030519880574380362,0.40683229813664595,2022-04-25,24
Kralupy nad Vltavou,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,1196,0.036326084315393026,0.3963210702341137,2022-04-25,24
Kutná Hora,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1716,0.03401522359657469,0.4131701631701632,2022-04-25,24
Lysá nad Labem,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1850,0.0681525142751888,0.43567567567567567,2022-04-25,24
Mělník,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1265,0.02823786776195366,0.4205533596837945,2022-04-25,24
Mladá Boleslav,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,5487,0.04855537365603292,0.41060688901038817,2022-04-25,24
Mnichovo Hradiště,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,593,0.0328768642235405,0.3962900505902192,2022-04-25,24
Neratovice,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,737,0.022842088950875562,0.412483039348711,2022-04-25,24
Nymburk,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1057,0.02610198789974071,0.38789025543992434,2022-04-25,24
Poděbrady,velmi nízké,střední,střední,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,854,0.02704671417260491,0.405152224824356,2022-04-25,24
Příbram,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2190,0.03128794913922423,0.37945205479452054,2022-04-25,24
Rakovník,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1150,0.020632613883057933,0.38956521739130434,2022-04-25,24
Říčany,nízké,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2724,0.03706878954888753,0.38876651982378857,2022-04-25,24
Sedlčany,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,767,0.0348985348985349,0.4485006518904824,2022-04-25,24
Slaný,velmi vysoké,vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1228,0.03011280039234919,0.4568403908794788,2022-04-25,24
