orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Telč,velmi nízké,velmi nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,294,0.022709717287192954,0.47278911564625853,2022-05-07,36
Třebíč,velmi nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1152,0.015566726122912275,0.3810763888888889,2022-05-07,36
Velké Meziříčí,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,770,0.021137586471944657,0.34805194805194806,2022-05-07,36
Žďár nad Sázavou,velmi nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,951,0.022385951697189398,0.37013669821240797,2022-05-07,36
Blansko,velmi nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1293,0.022666316066263476,0.36117556071152357,2022-05-07,36
Boskovice,velmi nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,946,0.018171689813480857,0.38477801268498946,2022-05-07,36
Brno,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,16186,0.0423268524208627,0.3593228716174472,2022-05-07,36
Břeclav,nízké,střední,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1516,0.025434534594993626,0.37467018469656993,2022-05-07,36
Bučovice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,300,0.01852995676343422,0.33666666666666667,2022-05-07,36
Hodonín,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,682,0.011258026708925535,0.30791788856304986,2022-05-07,36
Hustopeče,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,751,0.020592832268502014,0.4274300932090546,2022-05-07,36
Ivančice,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,382,0.015495071593720846,0.3612565445026178,2022-05-07,36
Kuřim,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,664,0.02819054088477541,0.42620481927710846,2022-05-07,36
Kyjov,nízké,nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,633,0.011399243652079958,0.3617693522906793,2022-05-07,36
Mikulov,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,607,0.029741780586995933,0.4085667215815486,2022-05-07,36
Moravský Krumlov,střední,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",352,0.015640273704789834,0.4147727272727273,2022-05-07,36
Pohořelice,velmi vysoké,nízké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,511,0.03430681436723733,0.299412915851272,2022-05-07,36
Rosice,velmi nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,527,0.019931921331316188,0.42125237191650855,2022-05-07,36
Slavkov u Brna,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,338,0.013924363516519734,0.4230769230769231,2022-05-07,36
Šlapanice,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1477,0.02077297403729853,0.4082599864590386,2022-05-07,36
Tišnov,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,617,0.019344724878507604,0.39222042139384117,2022-05-07,36
Veselí nad Moravou,nízké,nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,774,0.020641100858712465,0.38242894056847543,2022-05-07,36
Vyškov,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,881,0.016854469973790438,0.38933030646992056,2022-05-07,36
Znojmo,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2141,0.023260109075896835,0.40541802895843065,2022-05-07,36
Židlochovice,střední,velmi nízké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,607,0.017904020293189393,0.3640856672158155,2022-05-07,36
Hranice,střední,střední,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,859,0.025223902510644547,0.309662398137369,2022-05-07,36
Jeseník,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",661,0.017528971863480867,0.39334341906202724,2022-05-07,36
Konice,nízké,velmi nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,153,0.014371594965245163,0.45751633986928103,2022-05-07,36
Lipník nad Bečvou,nízké,střední,vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",205,0.013577058083316777,0.3902439024390244,2022-05-07,36
Litovel,střední,nízké,střední,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",463,0.019623633127066203,0.35205183585313177,2022-05-07,36
Mohelnice,velmi nízké,nízké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",392,0.02130087485736021,0.4107142857142857,2022-05-07,36
Olomouc,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,3068,0.018548523614906533,0.38005215123859193,2022-05-07,36
Prostějov,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1303,0.013315211837560547,0.39217191097467385,2022-05-07,36
Přerov,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1002,0.012564735977528935,0.3522954091816367,2022-05-07,36
Šternberk,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,226,0.009382654543944867,0.4336283185840708,2022-05-07,36
Šumperk,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1193,0.01741275378395341,0.4082145850796312,2022-05-07,36
Uničov,nízké,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,292,0.013061370549293254,0.386986301369863,2022-05-07,36
Zábřeh,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,330,0.009984569301987836,0.36666666666666664,2022-05-07,36
Bystřice pod Hostýnem,vysoké,nízké,velmi vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,307,0.020164203612479475,0.5179153094462541,2022-05-07,36
Holešov,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,194,0.009015288814535992,0.3917525773195876,2022-05-07,36
Kroměříž,nízké,střední,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,996,0.01462941746717194,0.3785140562248996,2022-05-07,36
Luhačovice,velmi nízké,velmi nízké,nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,499,0.026875639575591102,0.3627254509018036,2022-05-07,36
Otrokovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,744,0.02190038855528082,0.38306451612903225,2022-05-07,36
Rožnov pod Radhoštěm,velmi nízké,velmi nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,655,0.01869132209000371,0.416793893129771,2022-05-07,36
Uherské Hradiště,velmi nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1505,0.01678376268540203,0.373421926910299,2022-05-07,36
Uherský Brod,velmi nízké,velmi nízké,střední,Výrazně méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,757,0.014568899153194766,0.32232496697490093,2022-05-07,36
Valašské Klobouky,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,291,0.012623085932416605,0.4054982817869416,2022-05-07,36
Valašské Meziříčí,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1045,0.02504373666930285,0.34832535885167465,2022-05-07,36
Vizovice,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,300,0.017429700209156403,0.31,2022-05-07,36
Vsetín,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,834,0.012805945398151277,0.39928057553956836,2022-05-07,36
Zlín,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1752,0.017703586188777622,0.3675799086757991,2022-05-07,36
Bílovec,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,376,0.014658869395711501,0.3484042553191489,2022-05-07,36
Bohumín,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,496,0.01494966544095485,0.2903225806451613,2022-05-07,36
Bruntál,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",422,0.01169687898442264,0.3909952606635071,2022-05-07,36
Český Těšín,nízké,vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,247,0.009694638511657116,0.44129554655870445,2022-05-07,36
Frenštát pod Radhoštěm,střední,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,268,0.013739362247513586,0.48880597014925375,2022-05-07,36
Frýdek-Místek,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,3857,0.03434886765399995,0.5351309307752139,2022-05-07,36
Frýdlant nad Ostravicí,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,635,0.025263576685896162,0.44724409448818897,2022-05-07,36
Havířov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1360,0.015891934843067144,0.4625,2022-05-07,36
Hlučín,velmi nízké,střední,nízké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,304,0.00747737111373475,0.4144736842105263,2022-05-07,36
Jablunkov,velmi nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,214,0.009437290527429882,0.4252336448598131,2022-05-07,36
Karviná,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",425,0.006886159629281571,0.3811764705882353,2022-05-07,36
Kopřivnice,velmi nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,668,0.0164669920623182,0.3562874251497006,2022-05-07,36
Kravaře,velmi nízké,střední,vysoké,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,86,0.004037179607548587,0.313953488372093,2022-05-07,36
Krnov,střední,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,404,0.010152794531564133,0.42326732673267325,2022-05-07,36
Nový Jičín,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,790,0.01620745542949757,0.34556962025316457,2022-05-07,36
Odry,vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,349,0.020610641941770508,0.40974212034383956,2022-05-07,36
Opava,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,1493,0.014843610188701756,0.35097119892833223,2022-05-07,36
Orlová,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,203,0.00551226002661091,0.3448275862068966,2022-05-07,36
Ostrava,velmi vysoké,velmi vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,4855,0.015299916173476783,0.34603501544799176,2022-05-07,36
Rýmařov,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,320,0.02119064962585259,0.365625,2022-05-07,36
Třinec,velmi nízké,velmi nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,699,0.012828748141758585,0.40772532188841204,2022-05-07,36
Vítkov,velmi vysoké,velmi vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,257,0.019415275364508575,0.4046692607003891,2022-05-07,36
Praha,nízké,střední,velmi nízké,Vzdělávací problémy na míře očekávání,NA,77104,0.057752171398953174,0.36388514214567336,2022-05-08,37
Benešov,velmi nízké,nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2021,0.03295019157088123,0.4082137555665512,2022-05-08,37
Beroun,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1799,0.02722169261730749,0.3924402445803224,2022-05-08,37
Brandýs nad Labem-Stará Boleslav,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4776,0.04136712456909245,0.36976549413735343,2022-05-08,37
Čáslav,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,795,0.03074008197355193,0.3371069182389937,2022-05-08,37
Černošice,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,5621,0.036911054929901176,0.41291585127201563,2022-05-08,37
Český Brod,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,549,0.02512355848434926,0.43897996357012753,2022-05-08,37
Dobříš,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,550,0.023642694407428104,0.40545454545454546,2022-05-08,37
Hořovice,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1184,0.03905528433830321,0.36908783783783783,2022-05-08,37
Kladno,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3043,0.024138341331852615,0.3897469602366086,2022-05-08,37
Kolín,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2688,0.031846831903701245,0.39211309523809523,2022-05-08,37
Kralupy nad Vltavou,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,1339,0.040669420483537846,0.3793876026885736,2022-05-08,37
Kutná Hora,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1796,0.035601014906438314,0.3969933184855234,2022-05-08,37
Lysá nad Labem,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1923,0.07084177564929084,0.4201768070722829,2022-05-08,37
Mělník,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1401,0.03127371757667753,0.4089935760171306,2022-05-08,37
Mladá Boleslav,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,6347,0.05616565638688554,0.4186229714825902,2022-05-08,37
Mnichovo Hradiště,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,614,0.03404113766147364,0.38762214983713356,2022-05-08,37
Neratovice,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,794,0.02460870912753758,0.3929471032745592,2022-05-08,37
Nymburk,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1126,0.027805901963205332,0.3783303730017762,2022-05-08,37
Poděbrady,velmi nízké,střední,střední,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,899,0.028471892319873317,0.39377085650723026,2022-05-08,37
Příbram,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2413,0.03447389099221373,0.3638624119353502,2022-05-08,37
Rakovník,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1200,0.021529684051886537,0.375,2022-05-08,37
Říčany,nízké,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2932,0.03989929917670273,0.3792633015006821,2022-05-08,37
Sedlčany,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,768,0.034944034944034946,0.4322916666666667,2022-05-08,37
Slaný,velmi vysoké,vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1309,0.032099068170671895,0.4423223834988541,2022-05-08,37
Vlašim,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,599,0.02308552048406367,0.4006677796327212,2022-05-08,37
Votice,nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,283,0.022712680577849118,0.38869257950530034,2022-05-08,37
Blatná,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,412,0.030285210232284622,0.3106796116504854,2022-05-08,37
České Budějovice,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4198,0.02572934542780093,0.37875178656503095,2022-05-08,37
Český Krumlov,střední,velmi vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,1459,0.03520158274422757,0.36600411240575736,2022-05-08,37
Dačice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,149,0.007979862896315339,0.42953020134228187,2022-05-08,37
Jindřichův Hradec,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,777,0.016553751757637736,0.43886743886743884,2022-05-08,37
Kaplice,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,777,0.039098274040154986,0.31917631917631917,2022-05-08,37
Milevsko,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,250,0.013755158184319119,0.436,2022-05-08,37
Písek,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",1717,0.03214573231235841,0.34478741991846246,2022-05-08,37
Prachatice,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",1064,0.03194523673702225,0.3430451127819549,2022-05-08,37
Soběslav,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,498,0.022675530461706585,0.3172690763052209,2022-05-08,37
Strakonice,vysoké,střední,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,741,0.01646630074887225,0.3832658569500675,2022-05-08,37
Tábor,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2138,0.026562635888133783,0.36903648269410666,2022-05-08,37
Trhové Sviny,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,304,0.01571140627422606,0.4934210526315789,2022-05-08,37
Třeboň,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,588,0.023835583120515626,0.4523809523809524,2022-05-08,37
Týn nad Vltavou,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,261,0.01851983254097779,0.3831417624521073,2022-05-08,37
Vimperk,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",519,0.029704670329670328,0.4026974951830443,2022-05-08,37
Vodňany,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,872,0.07311142785277103,0.30160550458715596,2022-05-08,37
Blovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,247,0.020189635442210235,0.41295546558704455,2022-05-08,37
Domažlice,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,1080,0.026690391459074734,0.38333333333333336,2022-05-08,37
Horažďovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,263,0.022819956616052062,0.3916349809885932,2022-05-08,37
Horšovský Týn,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,407,0.027492569575790327,0.31203931203931207,2022-05-08,37
Klatovy,vysoké,nízké,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1603,0.031623594397317024,0.33562071116656267,2022-05-08,37
Kralovice,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,570,0.025344597598932858,0.35789473684210527,2022-05-08,37
Nepomuk,vysoké,střední,nízké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,213,0.018357321382401103,0.4225352112676056,2022-05-08,37
Nýřany,střední,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1205,0.02071122875165432,0.3385892116182573,2022-05-08,37
Plzeň,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,12513,0.06422192568261137,0.3121553584272357,2022-05-08,37
Přeštice,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,489,0.02134905042567125,0.3496932515337423,2022-05-08,37
Rokycany,vysoké,střední,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1353,0.027339408757501668,0.35698447893569846,2022-05-08,37
Stod,velmi vysoké,střední,nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,836,0.03574329813160033,0.3827751196172249,2022-05-08,37
Stříbro,velmi vysoké,velmi vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,716,0.041710357683793546,0.2779329608938548,2022-05-08,37
Sušice,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,641,0.026666111989350195,0.40093603744149764,2022-05-08,37
Tachov,velmi vysoké,velmi vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,2583,0.0693925798565403,0.2795199380565234,2022-05-08,37
Aš,velmi vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,482,0.027369257850207256,0.36721991701244816,2022-05-08,37
Cheb,velmi vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,2010,0.04026684295931246,0.36517412935323385,2022-05-08,37
Karlovy Vary,vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,5937,0.06824059493569039,0.3547246083880748,2022-05-08,37
Kraslice,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",228,0.017537112529805398,0.40350877192982454,2022-05-08,37
Mariánské Lázně,velmi vysoké,velmi vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1788,0.07479293901112691,0.3629753914988814,2022-05-08,37
Ostrov,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,697,0.025463047528586562,0.3931133428981349,2022-05-08,37
Sokolov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1251,0.016791495530321332,0.39568345323741005,2022-05-08,37
Bílina,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,326,0.01448373911498134,0.38650306748466257,2022-05-08,37
Děčín,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,943,0.012386544246102114,0.39660657476139977,2022-05-08,37
Chomutov,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1844,0.02261106274447292,0.41323210412147504,2022-05-08,37
Kadaň,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,1188,0.02759774200292703,0.3602693602693603,2022-05-08,37
Litoměřice,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1427,0.024286881339778067,0.40574632095304836,2022-05-08,37
Litvínov,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,630,0.017057453836573346,0.4603174603174603,2022-05-08,37
Louny,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,869,0.01999217797409529,0.379746835443038,2022-05-08,37
Lovosice,střední,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,450,0.016295491580662683,0.3511111111111111,2022-05-08,37
Most,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1627,0.021986783605183854,0.3810694529809465,2022-05-08,37
Podbořany,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,252,0.016103265384369608,0.376984126984127,2022-05-08,37
Roudnice nad Labem,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,632,0.019264768639882947,0.4208860759493671,2022-05-08,37
Rumburk,velmi vysoké,velmi vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,557,0.017123182391097176,0.3734290843806104,2022-05-08,37
Teplice,velmi vysoké,velmi vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3250,0.030567521303211,0.37753846153846154,2022-05-08,37
Ústí nad Labem,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2424,0.02042966346680601,0.38985148514851486,2022-05-08,37
Varnsdorf,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,354,0.017888726059932285,0.3983050847457627,2022-05-08,37
Žatec,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,611,0.022423664122137404,0.3502454991816694,2022-05-08,37
Česká Lípa,velmi vysoké,velmi vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1791,0.02334949937421777,0.4075935231714126,2022-05-08,37
Frýdlant,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,567,0.02313341493268054,0.3985890652557319,2022-05-08,37
Jablonec nad Nisou,střední,velmi vysoké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1806,0.032358632552139326,0.38372093023255816,2022-05-08,37
Jilemnice,velmi nízké,velmi nízké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,783,0.03566548237223285,0.4086845466155811,2022-05-08,37
Liberec,střední,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,5608,0.03857317760994869,0.3798145506419401,2022-05-08,37
Nový Bor,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,466,0.017722674374381988,0.41630901287553645,2022-05-08,37
Semily,velmi nízké,střední,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,456,0.017833398513883457,0.43201754385964913,2022-05-08,37
